source_id,ra,dec,classification,phot_variable_fundam_freq1,mean,peak_to_peak_g,r21_g,phi21_g,num_harmonics_for_p1
4.66031E+18,82.88438663,-66.64245678,CEP,0.255064333,15.60288695,0.375380785,0.355851159,4.295385066,3
4.66031E+18,82.7124837,-66.65726356,CEP,0.23132184,15.29026207,0.920414454,0.48548564,4.472543601,7
4.66032E+18,82.32928847,-66.64088813,CEP,0.526519631,15.62727423,0.36514682,0.187554575,4.355604847,2
4.66032E+18,82.33546857,-66.58969211,CEP,0.422638962,15.91549749,0.449419847,0.453867176,4.162879579,4
4.66032E+18,82.41925397,-66.51713831,CEP,0.265094925,15.42836742,0.800234245,0.44069786,4.293277229,4
4.66032E+18,82.54529948,-66.51046593,CEP,0.195252287,15.25408329,0.332329034,0.287336114,4.514377371,3
4.66033E+18,82.0465323,-66.43126671,CEP,0.195250545,15.20982645,0.430178802,0.362916985,4.592072558,3
4.66033E+18,81.87973583,-66.50850251,CEP,0.203892864,14.48825191,0.207539514,0.13278493,4.099516819,3
4.66033E+18,81.72150631,-66.39889189,CEP,0.06129161,16.51245378,0.888161031,0.080308999,1.384047092,4
4.66034E+18,81.82583242,-66.39447183,CEP,0.364978993,16.10573403,0.590300449,0.442212389,4.225545839,4
4.66034E+18,82.09406098,-66.23860019,CEP,0.485911461,16.25419404,0.882514646,0.473785017,4.059276785,6
4.66035E+18,82.77991246,-66.38220361,CEP,0.531655796,16.483589,0.477282695,0.413337104,4.042187931,4
4.66035E+18,82.65754199,-66.26031763,CEP,0.605779973,15.73190428,0.414021126,0.2194244,4.228587585,3
4.66035E+18,82.35673146,-66.23980168,CEP,0.059148697,13.65437331,0.784644536,0.236830231,4.707285798,8
4.66035E+18,82.59324785,-66.18678225,CEP,0.385099057,15.1615541,0.272138181,0.073712829,4.251899589,2
4.66036E+18,82.99547858,-66.08778613,CEP,0.436222202,15.59169829,0.292573419,0.105058047,4.298572829,2
4.66036E+18,82.59252858,-66.09999255,CEP,0.20348715,15.35388612,0.574592806,0.426815151,4.542742339,4
4.66036E+18,82.63958499,-66.07209099,CEP,0.942725601,16.45981083,0.427078153,0.261436981,4.220635364,3
4.66036E+18,82.49343944,-65.9056401,CEP,0.109775412,14.35867146,0.589933586,0.194182769,4.370814723,7
4.66037E+18,82.13566829,-65.97604983,CEP,0.208254278,15.38415942,0.707360527,0.465261838,4.586860652,5
4.66038E+18,81.90085248,-65.88257952,CEP,0.432246383,16.11893944,0.666867623,0.478672493,4.141309691,5
4.66038E+18,81.1564629,-67.10966384,CEP,0.237327423,14.59519324,0.256700326,0.12433534,3.615014055,3
4.66039E+18,80.90322903,-66.96029921,CEP,0.820472257,16.46896149,0.280943594,0.161745618,4.230909271,2
4.66039E+18,80.76461936,-66.85119589,CEP,0.445119865,15.53639976,0.214402928,0.066973317,4.687850006,2
4.66039E+18,81.14476024,-66.82555217,CEP,0.495140604,15.39764814,0.34683288,0.181090155,4.378428161,3
4.6604E+18,80.08464635,-66.79043237,CEP,0.849528826,16.42838679,0.437509305,0.20286692,4.277564229,3
4.66041E+18,80.60178356,-66.72641864,CEP,0.350246955,16.00791623,0.542765521,0.420411818,4.2355965,5
4.66041E+18,80.53995086,-66.74720017,CEP,0.485166923,15.53063285,0.270925223,0.124100974,4.489137125,2
4.66041E+18,80.23148513,-66.66204535,CEP,0.048306226,13.85152651,0.608396576,0.236794444,5.001502548,3
4.66041E+18,80.13365134,-66.62349632,CEP,0.284520542,15.10122535,0.311087866,0.106091192,3.486542644,3
4.66042E+18,81.26960631,-66.64901324,CEP,0.417237674,16.31579384,0.628863974,0.482137548,4.160999891,6
4.66042E+18,80.86664244,-66.64093828,CEP,0.187510525,15.07688916,0.547748938,0.445091856,4.564609592,4
4.66042E+18,80.87169922,-66.60309824,CEP,0.231395574,15.56595478,0.349406641,0.316645417,4.329133027,3
4.66042E+18,80.92954835,-66.53728153,CEP,0.352398271,15.20404117,0.207934464,0.044458358,3.539940918,2
4.66043E+18,81.12545065,-66.49397062,CEP,0.244138031,15.5300187,0.573621907,0.405276597,4.328390387,4
4.66043E+18,81.16257014,-66.43102977,CEP,0.111980421,14.59312518,0.434399954,0.251821888,5.273004879,5
4.66043E+18,80.96123196,-66.45519625,CEP,0.194714146,15.20370026,0.721487097,0.469257758,4.5699562,5
4.66043E+18,81.19918581,-66.36899293,CEP,0.33020058,16.16972177,0.467366485,0.392191632,4.263417151,5
4.66043E+18,80.63936248,-66.57396002,CEP,0.124683105,14.82387845,0.472675455,0.286557572,5.451158561,5
4.66044E+18,80.75674142,-66.47662893,CEP,0.323541244,15.12472246,0.319595337,0.077317223,3.388774405,3
4.66044E+18,80.41716169,-66.50755067,CEP,0.224407918,15.28897636,0.668725789,0.380678284,4.37675515,5
4.66044E+18,80.33660479,-66.35472067,CEP,0.338355044,15.91088859,0.626235583,0.453771276,4.306633271,5
4.66044E+18,80.35032866,-66.34335815,CEP,0.11452122,14.45790168,0.684069311,0.197745215,5.131168008,5
4.66045E+18,80.84163228,-66.30669125,CEP,0.244496633,15.57306611,0.669187294,0.469331465,4.377167507,5
4.66045E+18,80.49416437,-66.2591264,CEP,0.315345022,15.6937366,0.813123617,0.50610661,4.252122852,6
4.66045E+18,80.49582839,-66.13890752,CEP,0.214279126,15.32524131,0.613068948,0.442800897,4.472976132,5
4.66045E+18,80.34253304,-66.08496222,CEP,0.443663732,15.54899491,0.357451698,0.101190371,4.300723716,2
4.66046E+18,79.5608861,-66.63714716,CEP,0.110657908,14.73314671,0.633434853,0.174104185,5.409923723,6
4.66046E+18,79.73226153,-66.51124096,CEP,0.284560167,15.0134196,0.308443661,0.130670114,3.461177451,3
4.66047E+18,79.31138906,-66.42037106,CEP,0.272516363,14.8325813,0.215299683,0.102949056,3.496678742,2
4.66047E+18,78.94949058,-66.447477,CEP,0.326668602,14.91887828,0.278370724,0.052508305,3.703391671,3
4.66047E+18,79.01627584,-66.42454166,CEP,0.116141542,14.72484747,0.449120146,0.138133099,5.949691781,6
4.66048E+18,78.88533572,-66.37992234,CEP,0.220566197,15.26097918,0.752170972,0.453149286,4.447773356,5
4.66048E+18,78.98644906,-66.35495746,CEP,0.142389028,14.75204872,0.586289865,0.380935282,4.970645544,4
4.66048E+18,79.33857912,-66.35846304,CEP,0.287500333,14.80633033,0.145832859,0.066908161,3.367715671,2
4.66048E+18,79.2204391,-66.36994072,CEP,0.625105913,16.83203142,0.628536226,0.439184809,4.032470717,5
4.66048E+18,79.20374164,-66.33209598,CEP,0.321995194,15.07547349,0.343982139,0.103559076,3.381731651,3
4.66048E+18,79.17025218,-66.31808567,CEP,0.442145371,15.53283279,0.283269108,0.073387607,4.689389195,2
4.66048E+18,79.07121036,-66.31602133,CEP,0.200462725,15.13472697,0.665569033,0.449137293,4.424876227,5
4.66048E+18,78.938235,-66.23370429,CEP,0.301608107,15.81189545,0.444512513,0.375034009,4.384821159,4
4.66049E+18,79.20997165,-66.18887425,CEP,0.340544977,15.03263018,0.323759222,0.074069945,3.965134004,2
4.66049E+18,79.01269634,-66.16791081,CEP,0.249476587,15.56538502,0.480205155,0.415002854,4.303585779,4
4.66049E+18,80.16041521,-66.25167336,CEP,0.125212333,14.57465569,0.697824966,0.28817585,5.18326301,4
4.66049E+18,79.91096392,-66.25215787,CEP,0.263490422,14.88682751,0.353038266,0.215198987,3.835266514,4
4.66049E+18,79.76219701,-66.30724448,CEP,0.316239767,15.8133133,0.782077773,0.494286017,4.366848418,6
4.66049E+18,79.63527429,-66.27627292,CEP,0.27124178,15.34801077,0.785094341,0.467676856,4.288235955,6
4.66049E+18,79.8347743,-66.18090112,CEP,0.546600526,15.56945944,0.138266868,0.087973681,4.722586898,2
4.6605E+18,80.21375514,-66.09003635,CEP,0.095783765,14.66602711,0.621165727,0.108114131,4.577372838,6
4.6605E+18,79.86516441,-66.10690525,CEP,0.306576146,15.58882461,0.913082762,0.499142579,4.224176333,6
4.6605E+18,79.70590411,-66.0482191,CEP,0.324946323,15.79786888,0.43159639,0.406074501,4.333609645,4
4.6605E+18,79.96001991,-66.04861179,CEP,0.407988414,15.35394193,0.297317469,0.041210715,4.731028452,2
4.66051E+18,79.2547593,-66.14291753,CEP,0.477504415,15.50224878,0.192173034,0.0794969,4.510426494,2
4.66051E+18,79.35317691,-66.13208286,CEP,0.311302971,15.76453546,0.625405625,0.448895458,4.344013257,5
4.66051E+18,79.15018591,-66.13067218,CEP,0.513664382,15.57710787,0.37785939,0.213297207,4.478961344,2
4.66051E+18,79.1322965,-65.98489637,CEP,0.56543904,15.66037535,0.395583842,0.223878638,4.239241686,3
