name,z,mu,du
04D3dd,1.01,44.0124745362,0.375672417143
04D2ja,0.741,43.7172522874,0.223286859678
04D2gb,0.43,41.8109207973,0.15108214332
04D1ak,0.526,42.4002106795,0.16694309723
03D4gg,0.592,42.5773227618,0.172394047168
03D4di,0.905,43.6387400062,0.25746754741
03D4cx,0.949,43.4449098532,0.284630783131
03D3cd,0.4607,42.0716665463,0.18126245549
03D3ay,0.3709,41.6692043983,0.154834006045
03D1fq,0.8,43.7140601053,0.215165244047
03D1co,0.679,43.4574063402,0.195969077309
03D1aw,0.5817,42.6720406074,0.159803369147
04D4bq,0.55,42.2756470464,0.15520464155
04D3ny,0.81,43.3698924946,0.212685692189
04D3ml,0.95,43.9766075066,0.291243768847
04D3kr,0.3373,41.2944909521,0.137240588972
04D3gx,0.91,44.305516423,0.267241049423
04D3ez,0.263,40.6346721186,0.134567832845
04D3cy,0.643,43.0112669877,0.166369771753
04D2iu,0.691,43.0887669301,0.253842244922
04D2fs,0.357,41.4255279641,0.137721476533
04D1aj,0.721,43.1756783825,0.187179852377
03D4gf,0.581,42.7423233406,0.155462517843
03D4dh,0.6268,42.7586126154,0.157227804978
03D4cn,0.818,43.3928941721,0.26755880574
03D3cc,0.4627,42.0422849962,0.14756880162
03D3aw,0.449,42.0230683496,0.157063020734
03D1fl,0.688,43.0539860347,0.165777265258
03D1cm,0.87,44.2313042047,0.278817290376
03D1au,0.5043,42.3382006953,0.149577507475
b010,0.591,43.2091059677,0.306006112419
b013,0.426,41.7615774796,0.22492067105
b016,0.329,41.3402567282,0.269807401411
d058,0.583,42.4011253659,0.28648393048
d084,0.519,43.071509714,0.314462491184
d085,0.401,41.6954244654,0.229308722315
d086,0.205,39.9037694347,0.217272003785
d087,0.34,41.2131787728,0.228190770173
d089,0.436,41.8800161997,0.21653394713
d093,0.363,41.551975686,0.208173297091
d097,0.436,41.9257693002,0.228262759927
d117,0.309,41.1737957091,0.235823875951
d149,0.342,41.3845981768,0.21481032067
e020,0.159,39.4163640953,0.242628007812
e029,0.332,41.2554783013,0.239903276269
e108,0.469,42.3544812112,0.28315240581
e132,0.239,40.2591287799,0.204167929675
e136,0.352,41.423779352,0.224191540842
e138,0.612,42.813940944,0.283023414891
e140,0.631,42.3773831209,0.244974123167
e147,0.645,42.8169731662,0.234273129747
e148,0.429,41.8900388123,0.215471389689
e149,0.497,42.0757738154,0.221637712856
f011,0.539,42.2266632084,0.241797816352
f041,0.561,42.8719504017,0.306521908685
f076,0.41,41.3474933283,0.256981142148
f096,0.412,41.4237121884,0.312056381676
f216,0.599,42.7434648961,0.382165112455
f231,0.619,43.056018637,0.247822481956
f235,0.422,41.7283094576,0.230713845858
f244,0.54,42.5111635186,0.282945441834
f308,0.401,42.5546203602,0.369893982362
g005,0.218,40.0754074212,0.222222737823
g050,0.633,42.2016724827,0.259877853306
g052,0.383,41.6420339038,0.251010174803
g055,0.302,41.3107982848,0.272346550274
g097,0.34,41.0800432546,0.231193988299
g120,0.51,41.8806853688,0.226762461825
g133,0.421,42.1360316298,0.322004955245
g142,0.399,41.4880817606,0.292952212036
g160,0.493,42.1469146695,0.2639575465
g240,0.687,42.9963850785,0.285188798534
h300,0.687,42.8348351217,0.272537782393
h319,0.495,42.2486633669,0.232347965963
h323,0.603,42.6462047067,0.278628902676
h342,0.421,42.1796277538,0.233773507359
h359,0.348,41.5896262003,0.217425302485
h363,0.213,40.109041203,0.22335261095
h364,0.344,41.1728711166,0.209772839036
k396,0.271,40.5323020705,0.21526700069
k411,0.564,42.3728917486,0.292022400672
k425,0.274,40.7246506476,0.208670920573
k429,0.181,39.6828885172,0.227088514354
k430,0.582,43.1639102562,0.325207917744
k441,0.68,42.9040344577,0.290951926367
k448,0.401,41.9356323131,0.332838743195
k485,0.416,41.5575369467,0.303252121943
m027,0.286,41.2111308437,0.25814462102
m034,0.562,43.0505225945,0.33321544156
m043,0.266,40.3907073912,0.250227167194
m062,0.314,41.2319680355,0.242363893683
m138,0.581,43.668679767,0.391236930244
m158,0.463,41.947753754,0.26646445376
m193,0.341,40.9915138593,0.224504319999
n256,0.631,42.8818252933,0.234369669625
n258,0.522,42.6773303466,0.24715086884
n263,0.368,41.4676952372,0.207180966902
n278,0.309,40.8607746451,0.214863256477
n285,0.528,42.3696918414,0.302654151443
n404,0.216,40.4049089433,0.21521177477
p455,0.284,40.8353825838,0.206616021304
p524,0.508,42.1942707319,0.231767202806
p528,0.781,43.4372295515,0.321348684213
p534,0.613,42.6167095942,0.260214469673
1999fw,0.278,40.5662405695,0.198452987813
1999fn,0.477,42.0543351554,0.183599933891
1999fm,0.95,43.6383176075,0.297754710705
1999fk,1.057,44.1506301001,0.238584685235
1999fj,0.816,43.6910828816,0.457863421823
1999ff,0.455,42.3239322721,0.229627540013
04Eag,1.02,44.3629247027,0.220963762065
04Gre,1.14,44.322957093,0.228701029542
04Man,0.854,43.6084642861,0.225569905838
04Mcg,1.37,45.049713349,0.262748449529
04Omb,0.975,44.3337254974,0.21278060312
04Pat,0.97,44.4626016974,0.291454456047
04Rak,0.74,43.2875467038,0.198402487067
04Sas,1.39,44.8762343403,0.250631965185
04Yow,0.46,42.1484496113,0.210095497723
05Fer,1.02,44.1640655276,0.232339527378
05Gab,1.12,44.5144054871,0.224079094547
05Lan,1.23,45.0206757228,0.235028400564
05Red,1.19,44.3628316562,0.247108113742
05Spo,0.839,43.3980657237,0.222124147444
05Str,1.01,44.9121378293,0.33374861699
05Zwi,0.521,42.3782445565,0.199332155448
2002dc,0.475,42.1048814028,0.255958316646
2002dd,0.95,43.884150294,0.235845124417
2002fw,1.3,45.0162581016,0.242719167821
2002hp,1.305,44.740169328,0.25954011501
2002kc,0.216,40.5560465985,0.244099860655
2002kd,0.735,43.0918403533,0.200575809439
2002ki,1.14,44.1969521333,0.368403293803
2003aj,1.307,45.4107441086,0.314696709568
2003az,1.265,44.944110841,0.235469959716
2003bd,0.67,43.1432095538,0.209654285426
2003be,0.64,42.9242754337,0.280114332269
2003dy,1.34,45.0675055813,0.275015093127
2003eq,0.84,43.5143043773,0.208697053243
2003XX,0.935,43.5401972359,0.227616538358
2001cw,0.953,44.2736202267,0.954717441018
2001gn,1.124,44.5675191814,0.197263047621
2001go,0.552,42.5109342761,0.103414502954
2001gq,0.671,42.9820070011,0.12054552758
2001gy,0.511,42.3736604669,0.0890617545983
2001hb,1.03,44.2400933572,0.141254202601
A-004,1.192,44.4587516,0.200258071902
C-000,1.092,44.0078477189,0.246511864633
C-001,0.974,43.8341432564,0.174238940337
F-012,1.11,44.6253358523,0.447832632795
G-004,1.35,44.8270654771,0.185705412075
H-003,0.85,43.4942573455,0.171796430655
H-005,1.241,44.5817029608,0.478371053196
K-000,1.414,44.8037661387,0.346181483252
N-033,1.188,44.6076425498,0.500544949291
D-000,1.017,44.2939707709,0.171046154322
D-006,1.315,44.9713577744,0.187508839367
P-009,0.821,43.6409387868,0.194013591972
R-012,1.215,45.2465209495,0.560317445151
Z-005,0.623,42.5145239973,0.241428134977
